Brand,Metric,Region,Year,Value
McD,Per_Share_Data,Global,2023,732.3
McD,Per_Share_Data,Global,2022,741.3
McD,Per_Share_Data,Global,2021,751.8
McD,Current_Assets,Global,2023,4579.3
McD,Current_Assets,Global,2022,2583.8
McD,Current_Assets,Global,2023,2488.0
McD,Current_Assets,Global,2022,2115.0
McD,Current_Assets,Global,2023,52.8
McD,Current_Assets,Global,2022,52.0
McD,Current_Assets,Global,2023,866.3
McD,Current_Assets,Global,2022,673.4
McD,Other_Assets,Global,2023,1080.2
McD,Other_Assets,Global,2022,1064.5
McD,Other_Assets,Global,2023,3040.4
McD,Other_Assets,Global,2022,2900.4
McD,Other_Assets,US,2023,5617.8
McD,Other_Assets,US,2022,4707.2
McD,Lease_Property,US,2023,13514.4
McD,Lease_Property,US,2022,12565.7
McD,Lease_Property,Global,2023,43570.0
McD,Lease_Property,Global,2022,41037.6
McD,Lease_Property,Global,2023,-18662.4
McD,Lease_Property,Global,2022,-17264.0
McD,Total,Global,2023,56146.8
McD,Current_Liabilities,Global,2023,2192.4
McD,Current_Liabilities,Global,2022,0.0
McD,Current_Liabilities,Global,2023,1102.9
McD,Current_Liabilities,Global,2022,980.2
McD,Current_Liabilities,Global,2023,688.1
McD,Current_Liabilities,Global,2022,661.1
McD,Current_Liabilities,Global,2023,705.1
McD,Current_Liabilities,Global,2022,274.9
McD,Current_Liabilities,Global,2023,268.0
McD,Current_Liabilities,Global,2022,355.1
McD,Current_Liabilities,Global,2023,468.9
McD,Current_Liabilities,Global,2022,293.1
McD,Current_Liabilities,Global,2023,1433.6
McD,Current_Liabilities,Global,2022,1237.4
McD,Long_Term_Liabilities,Global,2023,37152.9
McD,Long_Term_Liabilities,Global,2022,35903.5
McD,Long_Term_Liabilities,Global,2023,13057.7
McD,Long_Term_Liabilities,Global,2022,12134.4
McD,Long_Term_Liabilities,Global,2023,790.1
McD,Long_Term_Liabilities,Global,2022,757.8
McD,Long_Term_Liabilities,Global,2023,363.2
McD,Long_Term_Liabilities,Global,2022,791.9
McD,Long_Term_Liabilities,Global,2023,949.7
McD,Long_Term_Liabilities,Global,2022,1051.8
McD,Long_Term_Liabilities,Global,2023,1680.9
McD,Long_Term_Liabilities,Global,2022,1997.5
McD,Shareholders,Global,2023,0.0
McD,Shareholders,Global,2022,0.0
McD,Shareholders,Global,2023,16.6
McD,Shareholders,Global,2022,16.6
McD,Shareholders,Global,2023,8892.9
McD,Shareholders,Global,2022,8547.1
McD,Shareholders,Global,2023,63479.9
McD,Shareholders,Global,2022,59549.3
McD,Shareholders,Global,2023,-2456.0
McD,Shareholders,Global,2022,-2466.6
McD,Shareholders,Global,2023,-74640.1
McD,Shareholders,Global,2022,-71624.9
McD,Total,Global,2023,56146.8
McD,Total,Global,2021,40031.0
McD,Total,Global,2022,40275.0
McD,Total,Global,2023,41822.0
McD,Total,US,2021,13438.0
McD,Total,US,2022,13444.0
McD,Total,US,2023,13457.0
McD,Total,Global,2021,2040.0
McD,Total,Global,2022,1899.0
McD,Total,Global,2023,2775.0
McD,Total,US,2021,1000.0
McD,Total,US,2022,900.0
McD,Total,US,2023,1200.0
BK,System-wide Sales,Global,2023,27019.0
BK,System-wide Sales,Global,2022,23450.0
BK,System-wide Sales,Global,2021,21690.0
BK,System-wide Sales Growth %,Global,2023,6.9
BK,System-wide Sales Growth %,Global,2022,2.8
BK,System-wide Sales Growth %,Global,2021,4.2
BK,Comparable Sales Growth %,US,2023,7.4
BK,Comparable Sales Growth %,US,2022,2.3
BK,Comparable Sales Growth %,US,2021,4.8
BK,Net Restaurant Growth,US,2023,-3.3
BK,Net Restaurant Growth,US,2022,-0.6
BK,Net Restaurant Growth,US,2021,0.7
BK,Store Count,Global,2023,19384.0
BK,Store Count,Global,2022,19035.0
BK,Store Count,Global,2021,18625.0
BK,Store Count,US & Canada,2023,7144.0
BK,Store Count,US & Canada,2022,7389.0
BK,Store Count,US & Canada,2021,7433.0
BK,Store Count,US,2023,6643.0
BK,Store Count,US,2022,6778.0
BK,Store Count,US,2021,7105.0
BK,Revenue,Global,2023,1837.0
BK,Revenue,Global,2022,1688.0
BK,Revenue,Global,2021,1553.0
BK,Revenue,US,2023,1297.0
BK,Revenue,US,2022,1196.0
BK,Revenue,US,2021,1156.0
BK,Operating Income,Global,2023,983.0
BK,Operating Income,Global,2022,921.0
